scorer,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200,DLC_resnet50_InterPoseDec21shuffle1_6200
bodyparts,left_ankle,left_ankle,left_ankle,left_knee,left_knee,left_knee,left_femoral,left_femoral,left_femoral,right_femoral,right_femoral,right_femoral,right_knee,right_knee,right_knee,right_ankle,right_ankle,right_ankle,left_wrist,left_wrist,left_wrist,left_elbow,left_elbow,left_elbow,left_shoulder,left_shoulder,left_shoulder,left_chest,left_chest,left_chest,right_chest,right_chest,right_chest,right_shoulder,right_shoulder,right_shoulder,right_elbow,right_elbow,right_elbow,right_wrist,right_wrist,right_wrist,hip,hip,hip,abdominal,abdominal,abdominal,head,head,head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,343.8056945800781,831.8938598632812,0.702630341053009,283.2857971191406,741.59326171875,0.6297099590301514,280.2836608886719,653.3447265625,0.7973750829696655,353.1724548339844,649.1148071289062,0.6830794215202332,349.76580810546875,743.9021606445312,0.7915297150611877,347.03106689453125,831.30615234375,0.6635780334472656,250.62730407714844,630.8849487304688,0.5729200839996338,256.122314453125,523.590576171875,0.17742681503295898,275.3838806152344,454.7960205078125,0.6332575678825378,297.9770202636719,493.21685791015625,0.6948447227478027,346.1851501464844,492.286865234375,0.5901369452476501,370.66925048828125,450.6466064453125,0.8634751439094543,386.6410217285156,554.6491088867188,0.6408843994140625,385.0692443847656,629.1766967773438,0.8324120044708252,324.7178955078125,615.3651733398438,0.6354716420173645,325.0285949707031,554.1952514648438,0.850174069404602,319.7739562988281,357.7687683105469,0.6469637155532837
9,343.8056945800781,831.8938598632812,0.6367679238319397,285.743896484375,738.8309326171875,0.46345585584640503,282.0958251953125,653.3447265625,0.8182957172393799,354.3304138183594,648.8203735351562,0.6584340333938599,350.4970397949219,743.5750732421875,0.7577328681945801,348.6611022949219,828.9042358398438,0.5738943219184875,252.80201721191406,629.697509765625,0.6505220532417297,257.6334533691406,525.1602783203125,0.17590072751045227,278.0495300292969,454.4765319824219,0.5359948873519897,300.6607360839844,491.3820495605469,0.7168564200401306,349.54327392578125,491.85491943359375,0.6733270287513733,372.2215576171875,450.3234558105469,0.8619268536567688,387.744384765625,554.4720458984375,0.7213220000267029,388.0657653808594,626.70703125,0.8702305555343628,326.4347839355469,614.916748046875,0.645936131477356,326.9720764160156,553.23876953125,0.8217282295227051,319.9432067871094,357.49737548828125,0.560126006603241
10,343.6572570800781,831.9802856445312,0.621255099773407,289.3039855957031,738.7770385742188,0.47777220606803894,284.8870544433594,653.337646484375,0.8850967288017273,354.9471435546875,648.2803344726562,0.6436870098114014,350.7425537109375,742.544921875,0.8003263473510742,349.7421569824219,828.773681640625,0.6626863479614258,253.9559783935547,629.6298217773438,0.648882269859314,258.8996887207031,553.7888793945312,0.15521541237831116,280.1624755859375,454.273681640625,0.5415531992912292,302.60302734375,489.71923828125,0.7859823703765869,350.75408935546875,491.35711669921875,0.7338218688964844,374.80023193359375,450.0991516113281,0.8269338607788086,389.2231140136719,554.4720458984375,0.6604265570640564,390.1363525390625,623.6309814453125,0.8782681226730347,327.26776123046875,614.802734375,0.6244379878044128,330.3938903808594,552.541259765625,0.7722496390342712,322.83441162109375,356.6756896972656,0.6082425713539124
11,291.32305908203125,835.0580444335938,0.6834514141082764,291.142578125,737.7318115234375,0.4829169511795044,287.2403259277344,651.6870727539062,0.8755722641944885,358.80743408203125,646.5015869140625,0.6123590469360352,351.8661193847656,740.671630859375,0.8085753917694092,351.885986328125,828.5706787109375,0.667338490486145,255.95713806152344,626.8823852539062,0.721097469329834,267.0766296386719,553.9098510742188,0.13562268018722534,282.8725891113281,452.3057861328125,0.5630247592926025,304.6416931152344,489.1351013183594,0.7879694700241089,352.05755615234375,489.8226318359375,0.7989107370376587,377.2181396484375,448.4064636230469,0.7863317728042603,390.5922546386719,552.2129516601562,0.575208842754364,393.2919921875,623.2921142578125,0.8639551401138306,329.56890869140625,611.7100830078125,0.6030876040458679,331.8956604003906,548.183349609375,0.7951023578643799,323.15667724609375,356.0398864746094,0.6766372919082642
12,291.32305908203125,835.0580444335938,0.7515496015548706,292.2121887207031,736.3138427734375,0.5080959796905518,290.03314208984375,648.9089965820312,0.8621271848678589,360.86700439453125,646.141357421875,0.6435647010803223,354.5321350097656,739.5110473632812,0.786630392074585,352.1831359863281,827.056396484375,0.6933779716491699,256.7524108886719,625.3033447265625,0.7141393423080444,268.7995300292969,553.7888793945312,0.1445533037185669,283.62127685546875,451.8999328613281,0.6145793199539185,308.4909973144531,487.4078369140625,0.7691513299942017,354.44232177734375,489.06689453125,0.8379689455032349,379.06884765625,447.737548828125,0.7074551582336426,393.6694641113281,549.5086059570312,0.5786654353141785,396.07196044921875,621.6470947265625,0.7905906438827515,330.8803405761719,611.39453125,0.6800762414932251,332.2153015136719,547.9210205078125,0.8332988023757935,325.6403503417969,356.0372009277344,0.6781823039054871
13,291.32305908203125,835.0580444335938,0.7593528032302856,292.6141052246094,733.2918701171875,0.5638523101806641,290.1386413574219,648.760498046875,0.8285747766494751,363.4501953125,645.94775390625,0.6026954650878906,354.5321350097656,737.1961059570312,0.6785664558410645,354.43328857421875,827.056396484375,0.688401460647583,259.2341613769531,623.9501342773438,0.7443979978561401,269.25311279296875,553.7888793945312,0.1315181851387024,287.9071044921875,451.1518859863281,0.6737372279167175,310.91986083984375,485.4999084472656,0.7693966031074524,358.7958679199219,488.1682434082031,0.8406041860580444,384.55322265625,447.64447021484375,0.7575410604476929,396.8708801269531,548.5498657226562,0.5880724191665649,397.5730285644531,620.7387084960938,0.7322657704353333,333.23388671875,610.8953247070312,0.6949785947799683,334.35479736328125,547.9210205078125,0.7618207931518555,331.06231689453125,355.5304870605469,0.7496859431266785
14,291.5231018066406,834.44287109375,0.7829129695892334,293.5508117675781,733.0397338867188,0.5715724229812622,291.33056640625,647.8597412109375,0.8304667472839355,364.0557556152344,641.8720703125,0.5603612661361694,354.5321350097656,734.4585571289062,0.5141751766204834,355.4230651855469,827.056396484375,0.6487328410148621,261.990478515625,623.740478515625,0.6829370856285095,269.25311279296875,506.46337890625,0.13474127650260925,288.4036865234375,448.95196533203125,0.6503841876983643,312.1814880371094,484.6581115722656,0.793725848197937,361.1176452636719,487.3994140625,0.7858681082725525,384.75518798828125,444.0431213378906,0.7347159385681152,400.4947509765625,547.103759765625,0.44290298223495483,398.0259094238281,620.7379760742188,0.7245190143585205,333.6493835449219,610.0298461914062,0.695769190788269,334.5766296386719,547.9102783203125,0.8254465460777283,331.50262451171875,351.15521240234375,0.5541661381721497
15,293.1992492675781,834.2386474609375,0.7848076820373535,293.6860656738281,731.6231079101562,0.591153621673584,291.8216247558594,646.2971801757812,0.7400267124176025,365.6434326171875,639.7717895507812,0.642865777015686,357.53558349609375,734.4585571289062,0.4710226058959961,357.97393798828125,827.009765625,0.594696581363678,262.8118591308594,622.1985473632812,0.6106470823287964,269.2879333496094,506.46337890625,0.1597268283367157,289.7502746582031,447.48687744140625,0.6202878952026367,313.332763671875,484.51812744140625,0.7711846828460693,362.74603271484375,484.9689636230469,0.7150890827178955,386.29266357421875,442.12200927734375,0.855164647102356,402.7252502441406,541.94677734375,0.5303924083709717,400.0214538574219,620.35205078125,0.7110108733177185,335.1403503417969,609.0042114257812,0.686107873916626,336.0311279296875,547.9102783203125,0.8131427764892578,333.6607666015625,350.688720703125,0.5866090059280396
16,293.28729248046875,832.45361328125,0.7594894766807556,294.4619140625,730.9085693359375,0.6324121952056885,296.0278015136719,646.0167846679688,0.7520764470100403,365.7996520996094,638.830078125,0.6538640260696411,359.4875183105469,734.0917358398438,0.535751461982727,359.85302734375,826.2922973632812,0.5112412571907043,265.8824157714844,620.899658203125,0.5667771100997925,269.2879333496094,506.46337890625,0.15468156337738037,290.31671142578125,446.0505676269531,0.5927977561950684,314.094482421875,483.7397766113281,0.7327272891998291,363.232177734375,484.5733642578125,0.6968820691108704,386.89776611328125,441.86688232421875,0.8594878911972046,405.3309020996094,541.94677734375,0.6231026649475098,401.8691101074219,620.35205078125,0.7143694758415222,336.6960144042969,608.0270385742188,0.662237286567688,338.0663146972656,546.906982421875,0.7893961668014526,333.77911376953125,347.1104736328125,0.5989862084388733
17,293.9750671386719,830.9072875976562,0.7089371681213379,296.2063903808594,729.52783203125,0.5945374369621277,296.0278015136719,644.138671875,0.7152830362319946,365.7996520996094,638.3178100585938,0.650536298751831,363.7313537597656,731.5248413085938,0.60237717628479,360.54510498046875,825.2198486328125,0.5457103252410889,266.55450439453125,619.3268432617188,0.6504164934158325,269.75537109375,506.60400390625,0.15346428751945496,290.7950439453125,445.8537902832031,0.5424121618270874,314.1335754394531,483.7397766113281,0.7143331170082092,363.44805908203125,483.99725341796875,0.6635926365852356,387.3694763183594,441.23345947265625,0.8662924766540527,405.3309020996094,541.94677734375,0.6861266493797302,401.8691101074219,619.9059448242188,0.7333546876907349,337.94342041015625,607.53076171875,0.6392685174942017,339.10498046875,546.35498046875,0.7670269012451172,334.1165771484375,345.0633850097656,0.6305404901504517
